x,y,vx,vy,Paddle.y
1070,285,-15,-15,300
1055,270,-15,-15,300
1040,255,-15,-15,300
1025,240,-15,-15,300
1010,225,-15,-15,300
995,210,-15,-15,300
980,195,-15,-15,300
965,180,-15,-15,300
950,165,-15,-15,300
935,150,-15,-15,300
920,135,-15,-15,519
905,120,-15,-15,453
890,105,-15,-15,421
875,90,-15,-15,382
860,75,-15,-15,365
845,60,-15,-15,352
830,45,-15,-15,345
830,45,-15,15,342
815,60,-15,15,342
800,75,-15,15,342
785,90,-15,15,342
770,105,-15,15,342
755,120,-15,15,342
740,135,-15,15,342
725,150,-15,15,326
710,165,-15,15,276
695,180,-15,15,228
680,195,-15,15,196
665,210,-15,15,184
650,225,-15,15,181
635,240,-15,15,181
620,255,-15,15,181
605,270,-15,15,181
590,285,-15,15,183
575,300,-15,15,187
560,315,-15,15,192
545,330,-15,15,198
530,345,-15,15,202
515,360,-15,15,202
500,375,-15,15,202
485,390,-15,15,202
470,405,-15,15,202
455,420,-15,15,202
440,435,-15,15,202
425,450,-15,15,202
410,465,-15,15,202
395,480,-15,15,202
380,495,-15,15,202
365,510,-15,15,202
350,525,-15,15,202
335,540,-15,15,202
320,555,-15,15,202
320,555,-15,-15,202
305,540,-15,-15,203
290,525,-15,-15,203
275,510,-15,-15,203
260,495,-15,-15,203
245,480,-15,-15,203
230,465,-15,-15,203
215,450,-15,-15,203
200,435,-15,-15,203
185,420,-15,-15,203
170,405,-15,-15,203
155,390,-15,-15,203
140,375,-15,-15,204
125,360,-15,-15,204
110,345,-15,-15,204
95,330,-15,-15,204
80,315,-15,-15,204
65,300,-15,-15,204
50,285,-15,-15,204
35,270,-15,-15,204
35,270,15,-15,204
50,255,15,-15,204
65,240,15,-15,204
80,225,15,-15,204
95,210,15,-15,204
110,195,15,-15,204
125,180,15,-15,204
140,165,15,-15,204
155,150,15,-15,204
170,135,15,-15,204
185,120,15,-15,204
200,105,15,-15,204
215,90,15,-15,204
230,75,15,-15,204
245,60,15,-15,204
260,45,15,-15,204
260,45,15,15,204
275,60,15,15,203
290,75,15,15,203
305,90,15,15,203
320,105,15,15,203
335,120,15,15,203
350,135,15,15,203
365,150,15,15,203
380,165,15,15,203
395,180,15,15,203
410,195,15,15,203
425,210,15,15,203
440,225,15,15,203
455,240,15,15,207
470,255,15,15,219
485,270,15,15,228
500,285,15,15,235
515,300,15,15,260
530,315,15,15,273
545,330,15,15,299
560,345,15,15,313
575,360,15,15,320
590,375,15,15,327
605,390,15,15,337
620,405,15,15,344
635,420,15,15,347
650,435,15,15,347
665,450,15,15,347
