x,y,vx,vy,Paddle.y
1070,285,-15,-15,300
1055,270,-15,-15,300
1040,255,-15,-15,300
1025,240,-15,-15,300
1010,225,-15,-15,300
995,210,-15,-15,300
980,195,-15,-15,507
965,180,-15,-15,454
950,165,-15,-15,399
935,150,-15,-15,377
920,135,-15,-15,343
905,120,-15,-15,309
890,105,-15,-15,292
875,90,-15,-15,289
860,75,-15,-15,289
845,60,-15,-15,289
830,45,-15,-15,289
830,45,-15,15,289
815,60,-15,15,289
800,75,-15,15,289
785,90,-15,15,289
770,105,-15,15,276
755,120,-15,15,267
740,135,-15,15,260
725,150,-15,15,253
710,165,-15,15,241
695,180,-15,15,217
680,195,-15,15,196
665,210,-15,15,179
650,225,-15,15,168
635,240,-15,15,158
620,255,-15,15,142
605,270,-15,15,133
590,285,-15,15,130
575,300,-15,15,132
560,315,-15,15,133
545,330,-15,15,133
530,345,-15,15,133
515,360,-15,15,133
500,375,-15,15,136
485,390,-15,15,141
470,405,-15,15,145
455,420,-15,15,147
440,435,-15,15,147
425,450,-15,15,147
410,465,-15,15,147
395,480,-15,15,147
380,495,-15,15,147
365,510,-15,15,147
350,525,-15,15,147
335,540,-15,15,147
320,555,-15,15,147
320,555,-15,-15,149
305,540,-15,-15,154
290,525,-15,-15,158
275,510,-15,-15,168
260,495,-15,-15,174
245,480,-15,-15,180
230,465,-15,-15,194
215,450,-15,-15,211
200,435,-15,-15,224
185,420,-15,-15,233
170,405,-15,-15,236
155,390,-15,-15,238
140,375,-15,-15,239
125,360,-15,-15,239
110,345,-15,-15,234
95,330,-15,-15,232
80,315,-15,-15,231
65,300,-15,-15,231
50,285,-15,-15,231
35,270,-15,-15,231
35,270,15,-15,230
50,255,15,-15,230
65,240,15,-15,230
80,225,15,-15,230
95,210,15,-15,230
110,195,15,-15,230
125,180,15,-15,230
140,165,15,-15,230
155,150,15,-15,230
170,135,15,-15,230
185,120,15,-15,230
200,105,15,-15,230
215,90,15,-15,230
230,75,15,-15,230
245,60,15,-15,230
260,45,15,-15,230
260,45,15,15,230
275,60,15,15,230
290,75,15,15,230
305,90,15,15,230
320,105,15,15,230
335,120,15,15,230
350,135,15,15,230
365,150,15,15,230
380,165,15,15,230
395,180,15,15,230
410,195,15,15,230
425,210,15,15,230
440,225,15,15,230
455,240,15,15,230
470,255,15,15,230
485,270,15,15,230
500,285,15,15,230
515,300,15,15,230
530,315,15,15,230
545,330,15,15,232
560,345,15,15,233
575,360,15,15,234
590,375,15,15,236
605,390,15,15,241
620,405,15,15,247
635,420,15,15,251
650,435,15,15,267
665,450,15,15,281
